SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Italy,Austria(ASI),Belarus(BELST)
Italy,Brazil(ABNT),Belgium(NBN)
Italy,Canada(SCC),Bulgaria(BDS)
Italy,France(AFNOR),China(SAC)
Italy,Germany(DIN),Czech Republic(UNMZ)
Italy,Italy(UNI),Finland(SFS)
Italy,Russian Federation(GOST R),India(BIS)
Italy,Sweden(SIS),"Iran, Islamic Republic of(ISIRI)"
Italy,Switzerland(SNV),Japan(JISC)
Italy,Turkey(TSE),"Korea, Republic of(KATS)"
Italy,United Kingdom(BSI),Poland(PKN)
Italy,United States(ANSI),Romania(ASRO)
Italy,,Serbia(ISS)
Italy,,Spain(UNE)
Italy,,Ukraine(DSTU)
